alpha.1,alpha.2,b_spell.1,b_spell.2,delta,phi,theta,sigmap_e,sigma_e,sigma_diff,sigma
6.9335688086104685,4.6126714292917566,-0.08536546341081373,0.16280632790152236,0.1380131625001455,0.03712810304691331,0.22555283439712046,0.7147662879763187,0.2768982998780598,0.21893399404912942,0.49583229392718925
6.942727374247138,4.739560705923448,0.05276797103121991,0.059327723904954645,0.14031852225005653,0.034056656019586615,0.26406252597126945,0.5999944875954822,0.27400760018549,0.16299344370499613,0.4370010438904861
7.04018343806607,4.717764411116117,0.018854098495767323,0.20608851658051583,0.15731841778551672,0.038157161000733485,0.27439202913220256,0.6364623354894621,0.2647199068900571,0.18587121429970246,0.4505911211897596
6.894121183673043,4.606512181510068,0.1605734255878243,0.10267567292327436,0.5482131747471642,0.046968156690392,0.2252791550903899,0.6083329837734097,0.29540402412568917,0.1564644798238603,0.45186850394954947
6.975849835826429,4.731814843610044,-0.1358377250969775,-0.009083849873616597,0.1570898978148895,0.030850094433216273,0.4090814070874851,0.5425580464069011,0.2653812575720448,0.13858839441742812,0.40396965198947293
6.864737923439153,4.604587921070008,0.06342194641584917,0.051395394242401325,0.5621273257094586,0.039622051542452456,0.333109593479235,0.5504514737646621,0.2649707933821073,0.14274034019127738,0.4077111335733847
6.931854913204386,4.678471624209861,0.16647054545958156,0.16834479177084766,0.3831822738631079,0.03594222128990267,0.28538314935590614,0.6128627810746381,0.26162958804459613,0.17561659651502096,0.4372461845596171
6.9123853605129035,4.616491684146757,0.12948878257952512,0.1103637603911658,0.358702777941587,0.0454248901692054,0.33833864262677094,0.5909889426053019,0.2667442988267613,0.16212232188927025,0.4288666207160316
6.962630497694703,4.7323286675169864,-0.03543163668873726,-0.008935482215610257,0.4621418606960295,0.031579377642454894,0.26456549709419697,0.6029037455496687,0.27114579365031977,0.16587897594967446,0.43702476959999426
6.89386860091806,4.742600152022128,0.08788760949319684,0.027403336895583018,0.37224908086451014,0.02250056873359731,0.38993042581482473,0.5682561018916382,0.26835047588085026,0.149952813005394,0.41830328888624424
6.907535898052094,4.6060936147452045,0.14905993934788264,0.12210926449442107,0.5435024413019018,0.04523170112268659,0.31192698908995176,0.6097393252197786,0.2793081779723986,0.16521557362369002,0.4445237515960886
6.892295530359288,4.757966218229798,0.1575519094162861,0.08257448491811231,0.5729967780256587,0.016683316648664556,0.19299716922998778,0.5864351349955212,0.29400752862505386,0.14621380318523372,0.44022133181028755
6.878509309904845,4.6009109690136665,0.03003923906426215,0.2223771338795329,0.25257147788925355,0.03233765256174625,0.333812140456279,0.5848466943888524,0.2567000085861229,0.16407334290136477,0.4207733514874877
6.941919123187872,4.752422274254638,0.03378932107752354,0.033517697103194084,0.44170944522357525,0.02739918299518668,0.3018226504266083,0.5596658171001823,0.27931944584911556,0.14017318562553338,0.41949263147464894
6.83501933017156,4.614148745956349,0.05998839780487604,0.07127891718777214,0.278380445364547,0.038039798396681944,0.4636741576166289,0.5298443267278496,0.2365664666202889,0.14663893005378037,0.3832053966740693
6.888262127600855,4.578653293615766,0.179943566559735,0.2003248541575067,0.995461978423554,0.04049920286416165,0.16327958850126462,0.6732985501638211,0.30579764022447276,0.18375045496967415,0.48954809519414694
6.97007424458275,4.6761309450185955,-0.03878771747565562,0.11073009055373685,0.6525216895571446,0.03394832638866386,0.23170565524236594,0.6769772525541373,0.27394269736453464,0.20151727759480137,0.475459974959336
6.90663500441603,4.717200414402731,0.17834966906028926,0.28439437914744536,0.10072562060778173,0.02216734788307091,0.21390097047129905,0.6290472370167044,0.27432847890892803,0.1773593790538882,0.45168785796281624
6.847761540768355,4.613026745975677,0.05829641007056375,0.17672674408941222,0.3506203276163139,0.0307239243082479,0.38994572258604154,0.5504469361911809,0.24685284661147203,0.15179704478985442,0.39864989140132645
6.814250209396958,4.523243369691313,0.100509064427195,0.21162550274083114,0.25961006750526083,0.04062955422955026,0.23010943895891087,0.6198810181154444,0.28150890035734566,0.16918605887904933,0.450694959236395
6.936373283639336,4.626495981609082,-0.014175821380166896,0.12498854533785056,0.3174321845029816,0.04074194565353609,0.2701442298211791,0.6005905197065817,0.2857663644414335,0.1574120776325741,0.4431784420740076
